Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,ssd Name,Price
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,170,140.0,7011,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU,Samsung PM951 NVMe PCIe M.2 512GB,55.00
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,171,139.0,2425,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB,HP EX900 NVMe PCIe M.2 120GB,32.99
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,172,139.0,526,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350,OCZ RevoDrive 350 PCIe 480GB,84.99
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,173,138.0,759,https://ssd.userbenchmark.com/SpeedTest/217777/BPX,MyDigitalSSD BPX NVMe PCIe M.2 120GB,129.99
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,174,137.0,390,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG,Plextor M8Se NVMe PCIe M.2 256GB,25.99
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,174,137.0,390,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG,Plextor M8Se NVMe PCIe M.2 256GB,9.99
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,174,137.0,390,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG,Plextor M8Se NVMe PCIe M.2 256GB,21.99
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,175,136.0,1762,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G,Kingston KC1000 NVMe PCIe M.2 240GB,31.99
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,176,134.0,12594,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G,Kingston A1000 NVMe PCIe M.2 480GB,37.99
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,177,133.0,1434,https://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000,Samsung XP941 PCIe M.2 256GB,21.29
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,178,132.0,1967,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8,Intel 760p Series NVMe PCIe M.2 128GB,75.00
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,179,131.0,6458,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G,Kingston HyperX Predator AHCI PCIe M.2 240GB,31.99
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),180,131.0,14088,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0,WD Black NVMe PCIe M.2 512GB (2017),100.24
